F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_report,status,subject,top1_barinel_hit,top1_barinel_region_lines,top1_budget,top1_dstar_hit,top1_dstar_region_lines,top1_folded_hit,top1_ochiai_hit,top1_ochiai_region_lines,top1_op2_hit,top1_op2_region_lines,top1_tarantula_hit,top1_tarantula_region_lines,top2_barinel_hit,top2_barinel_region_lines,top2_budget,top2_dstar_hit,top2_dstar_region_lines,top2_folded_hit,top2_ochiai_hit,top2_ochiai_region_lines,top2_op2_hit,top2_op2_region_lines,top2_tarantula_hit,top2_tarantula_region_lines,top3_barinel_hit,top3_barinel_region_lines,top3_budget,top3_dstar_hit,top3_dstar_region_lines,top3_folded_hit,top3_ochiai_hit,top3_ochiai_region_lines,top3_op2_hit,top3_op2_region_lines,top3_tarantula_hit,top3_tarantula_region_lines
1,73,condition,control-flow,BoundaryStressCounter_M1,BOR,BoundaryStressCounter/BoundaryStressCounter_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressCounter_M1/sfl_localization.json,evaluated,BoundaryStressCounter,True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]"
67,74,condition,control-flow,BoundaryStressCounter_M2,BOR,BoundaryStressCounter/BoundaryStressCounter_M2.java,16,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressCounter_M2/sfl_localization.json,evaluated,BoundaryStressCounter,False,"[17, 31]",2,True,"[16, 17]",True,True,"[16, 17]",True,"[16, 17]",False,"[17, 31]",True,"[16, 17, 25, 31]",4,True,"[16, 17, 21, 24]",True,True,"[16, 17, 21, 24]",True,"[16, 17, 21, 24]",True,"[16, 17, 25, 31]",True,"[16, 17, 21, 24, 25, 27, 31]",7,True,"[13, 14, 16, 17, 21, 24, 27]",True,True,"[13, 14, 16, 17, 21, 24, 27]",True,"[13, 14, 16, 17, 21, 24, 27]",True,"[16, 17, 21, 24, 25, 27, 31]"
67,6,condition,control-flow,BoundaryStressCounter_M3,ROR,BoundaryStressCounter/BoundaryStressCounter_M3.java,15,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressCounter_M3/sfl_localization.json,evaluated,BoundaryStressCounter,False,"[13, 14]",2,False,"[13, 14]",True,False,"[13, 14]",False,"[13, 14]",False,"[13, 14]",True,"[13, 14, 15, 16, 17]",5,True,"[13, 14, 15, 30, 33]",True,True,"[13, 14, 15, 30, 33]",True,"[13, 14, 15, 30, 33]",True,"[13, 14, 15, 16, 17]",True,"[13, 14, 15, 16, 17, 19, 21]",7,True,"[13, 14, 15, 16, 21, 30, 33]",True,True,"[13, 14, 15, 16, 21, 30, 33]",True,"[6, 9, 13, 14, 15, 30, 33]",True,"[13, 14, 15, 16, 17, 19, 21]"
67,7,statement,data-flow,BoundaryStressCounter_M4,AOR,BoundaryStressCounter/BoundaryStressCounter_M4.java,19,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressCounter_M4/sfl_localization.json,evaluated,BoundaryStressCounter,True,"[19, 22]",2,True,"[16, 19]",False,True,"[16, 19]",True,"[16, 19]",True,"[19, 22]",True,"[19, 22, 25, 31]",4,True,"[16, 19, 21, 24]",True,True,"[16, 19, 21, 24]",True,"[16, 19, 21, 24]",True,"[19, 22, 25, 31]",True,"[16, 19, 21, 22, 25, 31]",6,True,"[13, 16, 19, 21, 24, 27]",True,True,"[13, 16, 19, 21, 24, 27]",True,"[13, 16, 19, 21, 24, 27]",True,"[16, 19, 21, 22, 25, 31]"
50,7,statement,data-flow,BoundaryStressCounter_M5,SUR,BoundaryStressCounter/BoundaryStressCounter_M5.java,27,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressCounter_M5/sfl_localization.json,evaluated,BoundaryStressCounter,False,"[16, 17]",2,False,"[16, 21]",True,False,"[16, 21]",False,"[16, 21]",False,"[16, 17]",False,"[16, 17, 19, 21]",4,True,"[16, 21, 24, 27]",True,True,"[16, 21, 24, 27]",True,"[16, 21, 24, 27]",False,"[16, 17, 19, 21]",False,"[16, 17, 19, 21, 22, 24]",6,True,"[13, 14, 16, 21, 24, 27]",True,True,"[13, 14, 16, 21, 24, 27]",True,"[13, 14, 16, 21, 24, 27]",False,"[16, 17, 19, 21, 22, 24]"
0,74,statement,data-flow,BoundaryStressCounter_M8,AOR,,17,budget_row_not_evaluated,coverage_x_purity,,not_detected,BoundaryStressCounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73,condition,control-flow,BoundaryStressMeter_M1,BOR,BoundaryStressMeter/BoundaryStressMeter_M1.java,3,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressMeter_M1/sfl_localization.json,evaluated,BoundaryStressMeter,True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,True,"[3, 4]",True,"[3, 4]",True,"[3, 4]"
37,74,condition,control-flow,BoundaryStressMeter_M2,BOR,BoundaryStressMeter/BoundaryStressMeter_M2.java,16,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressMeter_M2/sfl_localization.json,evaluated,BoundaryStressMeter,False,"[17, 31]",2,True,"[16, 17]",True,True,"[16, 17]",True,"[16, 17]",False,"[17, 31]",False,"[17, 23, 27, 31]",4,True,"[16, 17, 22, 26]",True,True,"[16, 17, 22, 26]",True,"[16, 17, 22, 26]",False,"[17, 23, 27, 31]",True,"[16, 17, 22, 23, 26, 27, 31]",7,True,"[13, 16, 17, 22, 26, 30, 34]",True,True,"[13, 16, 17, 22, 26, 30, 34]",True,"[13, 16, 17, 22, 26, 30, 34]",True,"[16, 17, 22, 23, 26, 27, 31]"
67,6,condition,control-flow,BoundaryStressMeter_M3,ROR,BoundaryStressMeter/BoundaryStressMeter_M3.java,15,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressMeter_M3/sfl_localization.json,evaluated,BoundaryStressMeter,False,"[19, 23]",2,False,"[37, 40]",True,False,"[37, 40]",False,"[37, 40]",False,"[19, 23]",False,"[19, 23, 27, 37, 40]",5,True,"[13, 14, 15, 37, 40]",True,True,"[13, 14, 15, 37, 40]",True,"[13, 14, 15, 37, 40]",False,"[19, 23, 27, 37, 40]",False,"[13, 14, 19, 23, 27, 37, 40]",7,True,"[13, 14, 15, 16, 19, 37, 40]",True,True,"[13, 14, 15, 16, 19, 37, 40]",True,"[6, 9, 13, 14, 15, 37, 40]",False,"[13, 14, 19, 23, 27, 37, 40]"
67,7,statement,data-flow,BoundaryStressMeter_M4,AOR,BoundaryStressMeter/BoundaryStressMeter_M4.java,19,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressMeter_M4/sfl_localization.json,evaluated,BoundaryStressMeter,True,"[19, 23]",2,True,"[16, 19]",True,True,"[16, 19]",True,"[16, 19]",True,"[19, 23]",True,"[16, 19, 23, 27]",4,True,"[16, 19, 22, 26]",True,True,"[16, 19, 22, 26]",True,"[16, 19, 22, 26]",True,"[16, 19, 23, 27]",True,"[16, 19, 22, 23, 26, 27]",6,True,"[16, 19, 22, 26, 30, 34]",True,True,"[16, 19, 22, 26, 30, 34]",True,"[16, 19, 22, 26, 30, 34]",True,"[16, 19, 22, 23, 26, 27]"
50,7,statement,data-flow,BoundaryStressMeter_M5,SUR,BoundaryStressMeter/BoundaryStressMeter_M5.java,34,,coverage_x_purity,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/baseline-SFL/BoundaryStressMeter_M5/sfl_localization.json,evaluated,BoundaryStressMeter,False,"[16, 17]",2,False,"[16, 22]",False,False,"[16, 22]",False,"[16, 22]",False,"[16, 17]",False,"[16, 17, 19, 22]",4,False,"[16, 22, 26, 30]",True,False,"[16, 22, 26, 30]",False,"[16, 22, 26, 30]",False,"[16, 17, 19, 22]",False,"[16, 17, 19, 22, 23, 26]",6,True,"[13, 16, 22, 26, 30, 34]",True,True,"[13, 16, 22, 26, 30, 34]",True,"[13, 16, 22, 26, 30, 34]",False,"[16, 17, 19, 22, 23, 26]"
0,74,statement,data-flow,BoundaryStressMeter_M8,AOR,,17,budget_row_not_evaluated,coverage_x_purity,,not_detected,BoundaryStressMeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
