F_total,P_total,aggregated_report,condition_candidates,condition_node_best_rank,condition_node_folded_edge_partition_best_rank,condition_node_folded_edge_partition_hit,condition_node_folded_edge_partition_prediction_count,condition_node_folded_edge_partition_topk,condition_node_hit,condition_node_prediction_count,condition_node_topk,eval_report,fault_category,fault_kind,interval_folded_edge_partition_best_rank,interval_folded_edge_partition_hit,interval_folded_edge_partition_prediction_count,interval_folded_edge_partition_topk,interval_folded_seed_e_best_rank,interval_folded_seed_e_hit,interval_folded_seed_e_prediction_count,interval_folded_seed_e_topk,interval_folded_seed_s_best_rank,interval_folded_seed_s_hit,interval_folded_seed_s_prediction_count,interval_folded_seed_s_topk,mutant_id,operator,raw_report,reason,scoring_strategy,seed_e_candidates,seed_s_candidates,status,subject,unstable_segment_variants
1,73,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M1/cct_folded_localization_aggregated.json,2,1,1,True,3,"{""top1"": true, ""top2"": true, ""top3"": true}",True,2,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundaryStressCounter_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M1/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,BoundaryStressCounter,2
67,74,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M2/cct_folded_localization_aggregated.json,11,1,1,True,16,"{""top1"": true, ""top2"": true, ""top3"": true}",True,11,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M2/cct_folded_localization_eval.json,condition,control-flow,,False,5,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,5,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BoundaryStressCounter_M2,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M2/cct_folded_localization.json,,coverage_x_purity,5,1,evaluated,BoundaryStressCounter,4
67,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M3/cct_folded_localization_aggregated.json,11,1,1,True,15,"{""top1"": true, ""top2"": true, ""top3"": true}",True,11,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M3/cct_folded_localization_eval.json,condition,control-flow,,False,4,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,4,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BoundaryStressCounter_M3,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M3/cct_folded_localization.json,,coverage_x_purity,4,1,evaluated,BoundaryStressCounter,2
67,7,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M4/cct_folded_localization_aggregated.json,11,,2,True,15,"{""top1"": false, ""top2"": true, ""top3"": true}",False,11,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M4/cct_folded_localization_eval.json,statement,data-flow,2,True,4,"{""top1"": false, ""top2"": true, ""top3"": true}",1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",BoundaryStressCounter_M4,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M4/cct_folded_localization.json,,coverage_x_purity,4,1,evaluated,BoundaryStressCounter,2
50,7,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M5/cct_folded_localization_aggregated.json,11,,1,True,15,"{""top1"": true, ""top2"": true, ""top3"": true}",False,11,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M5/cct_folded_localization_eval.json,statement,data-flow,1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",4,True,4,"{""top1"": false, ""top2"": false, ""top3"": false}",1,True,1,"{""top1"": true, ""top2"": true, ""top3"": true}",BoundaryStressCounter_M5,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M5/cct_folded_localization.json,,coverage_x_purity,4,1,evaluated,BoundaryStressCounter,2
0,74,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M8/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M8/cct_folded_localization_eval.json,statement,data-flow,,,,,,,,,,,,,BoundaryStressCounter_M8,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressCounter_M8/cct_folded_localization.json,no_tbfv_failures,coverage_x_purity,0,0,not_detected,BoundaryStressCounter,2
1,73,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M1/cct_folded_localization_aggregated.json,2,1,1,True,3,"{""top1"": true, ""top2"": true, ""top3"": true}",True,2,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M1/cct_folded_localization_eval.json,condition,control-flow,,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,1,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundaryStressMeter_M1,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M1/cct_folded_localization.json,,coverage_x_purity,1,0,evaluated,BoundaryStressMeter,0
37,74,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M2/cct_folded_localization_aggregated.json,12,1,1,True,17,"{""top1"": true, ""top2"": true, ""top3"": true}",True,12,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M2/cct_folded_localization_eval.json,condition,control-flow,,False,5,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,5,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundaryStressMeter_M2,BOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M2/cct_folded_localization.json,,coverage_x_purity,5,0,evaluated,BoundaryStressMeter,2
67,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M3/cct_folded_localization_aggregated.json,12,1,1,True,16,"{""top1"": true, ""top2"": true, ""top3"": true}",True,12,"{""top1"": true, ""top2"": true, ""top3"": true}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M3/cct_folded_localization_eval.json,condition,control-flow,,False,4,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,4,"{""top1"": false, ""top2"": false, ""top3"": false}",,False,,{},BoundaryStressMeter_M3,ROR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M3/cct_folded_localization.json,,coverage_x_purity,4,0,evaluated,BoundaryStressMeter,0
67,7,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M4/cct_folded_localization_aggregated.json,12,,1,True,16,"{""top1"": true, ""top2"": true, ""top3"": true}",False,12,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M4/cct_folded_localization_eval.json,statement,data-flow,1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",1,True,4,"{""top1"": true, ""top2"": true, ""top3"": true}",,False,,{},BoundaryStressMeter_M4,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M4/cct_folded_localization.json,,coverage_x_purity,4,0,evaluated,BoundaryStressMeter,0
50,7,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M5/cct_folded_localization_aggregated.json,12,,2,True,16,"{""top1"": false, ""top2"": true, ""top3"": true}",False,12,"{""top1"": false, ""top2"": false, ""top3"": false}",/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M5/cct_folded_localization_eval.json,statement,data-flow,2,True,4,"{""top1"": false, ""top2"": true, ""top3"": true}",2,True,4,"{""top1"": false, ""top2"": true, ""top3"": true}",,False,,{},BoundaryStressMeter_M5,SUR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M5/cct_folded_localization.json,,coverage_x_purity,4,0,evaluated,BoundaryStressMeter,0
0,74,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M8/cct_folded_localization_aggregated.json,0,,,,,,,,,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M8/cct_folded_localization_eval.json,statement,data-flow,,,,,,,,,,,,,BoundaryStressMeter_M8,AOR,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/boundary_stress_subjects/RQ3-fault-localization/folded-replay-coverage-x-purity/artifacts/RQ3-fault-localization/BoundaryStressMeter_M8/cct_folded_localization.json,no_tbfv_failures,coverage_x_purity,0,0,not_detected,BoundaryStressMeter,0
