F_total,P_total,aggregated_report,candidate_count,condition_candidate_count,edge_candidate_count,fault_category,fault_kind,mutant_id,operator,primary_file,primary_line,reason,scoring_strategy,sfl_formula,status,strategy,subject,top1_budget,top1_sfl_hit,top1_sfl_region_lines,top1_unified_hit,top1_unified_region_lines,top2_budget,top2_sfl_hit,top2_sfl_region_lines,top2_unified_hit,top2_unified_region_lines,top3_budget,top3_sfl_hit,top3_sfl_region_lines,top3_unified_hit,top3_unified_region_lines,top_unified_items
1,29,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M1/cct_folded_localization_aggregated.json,2,1,1,condition,control-flow,BoundedIntPower_M1,BOR,BoundedIntPower/BoundedIntPower_M1.java,3,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedIntPower,1,False,[4],False,[4],2,True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,"[3, 4]","[{'kind': 'edge_partition', 'source_file': 'BoundedIntPower/BoundedIntPower_M1.java', 'from_line': 3, 'from_condition': 'base > 5', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [4], 'region_size': 1, 'risk_score': 0.5, 'base_risk_score': 0.5, 'pass_count': 1, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M1.java', 'line': 3, 'condition': 'base <= -5', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.03333333333333333, 'pass_count': 29, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}]"
1,26,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M2/cct_folded_localization_aggregated.json,5,4,1,condition,control-flow,BoundedIntPower_M2,BOR,BoundedIntPower/BoundedIntPower_M2.java,6,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedIntPower,1,False,[7],False,[7],2,True,"[6, 7]",True,"[6, 7]",2,True,"[6, 7]",True,"[6, 7]","[{'kind': 'edge_partition', 'source_file': 'BoundedIntPower/BoundedIntPower_M2.java', 'from_line': 6, 'from_condition': 'exponent >= 8', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [7], 'region_size': 1, 'risk_score': 0.5, 'base_risk_score': 0.5, 'pass_count': 1, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M2.java', 'line': 6, 'condition': 'exponent >= 8', 'region_lines': [6], 'region_size': 1, 'risk_score': 0.041666666666666664, 'pass_count': 23, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M2.java', 'line': 6, 'condition': 'exponent < 0', 'region_lines': [6], 'region_size': 1, 'risk_score': 0.04, 'pass_count': 24, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
0,30,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M3/cct_folded_localization_aggregated.json,,,,condition,control-flow,BoundedIntPower_M3,ROR,,,folded_row_not_evaluated,coverage_x_purity,,not_detected,,BoundedIntPower,,,,,,,,,,,,,,,,
24,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M4/cct_folded_localization_aggregated.json,15,9,6,statement,data-flow,BoundedIntPower_M4,AOR,BoundedIntPower/BoundedIntPower_M4.java,25,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedIntPower,1,False,[17],False,[17],2,False,"[17, 18]",False,"[17, 18]",3,False,"[17, 18, 22]",False,"[17, 18, 24]","[{'kind': 'edge_partition', 'source_file': 'BoundedIntPower/BoundedIntPower_M4.java', 'from_line': 13, 'from_condition': 'base == 0', 'outcome': 'false', 'to_line': 18, 'to_condition': 'signedMode', 'region_lines': [17], 'region_size': 1, 'risk_score': 1.0, 'base_risk_score': 1.0, 'pass_count': 0, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M4.java', 'line': 18, 'condition': 'signedMode', 'region_lines': [18], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M4.java', 'line': 24, 'condition': 'remaining > 0', 'region_lines': [24], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
12,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M5/cct_folded_localization_aggregated.json,15,9,6,statement,data-flow,BoundedIntPower_M5,SUR,BoundedIntPower/BoundedIntPower_M5.java,26,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedIntPower,1,False,[17],False,[17],2,False,"[17, 18]",False,"[17, 18]",3,False,"[17, 18, 22]",False,"[17, 18, 24]","[{'kind': 'edge_partition', 'source_file': 'BoundedIntPower/BoundedIntPower_M5.java', 'from_line': 13, 'from_condition': 'base == 0', 'outcome': 'false', 'to_line': 18, 'to_condition': 'signedMode', 'region_lines': [17], 'region_size': 1, 'risk_score': 1.0, 'base_risk_score': 1.0, 'pass_count': 0, 'fail_count': 12, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M5.java', 'line': 18, 'condition': 'signedMode', 'region_lines': [18], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 12, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M5.java', 'line': 24, 'condition': 'remaining > 0', 'region_lines': [24], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 12, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
24,6,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedIntPower_M6/cct_folded_localization_aggregated.json,15,9,6,statement,data-flow,BoundedIntPower_M6,RVR,BoundedIntPower/BoundedIntPower_M6.java,28,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedIntPower,1,False,[17],False,[17],2,False,"[17, 18]",False,"[17, 18]",3,False,"[17, 18, 22]",False,"[17, 18, 24]","[{'kind': 'edge_partition', 'source_file': 'BoundedIntPower/BoundedIntPower_M6.java', 'from_line': 13, 'from_condition': 'base == 0', 'outcome': 'false', 'to_line': 18, 'to_condition': 'signedMode', 'region_lines': [17], 'region_size': 1, 'risk_score': 1.0, 'base_risk_score': 1.0, 'pass_count': 0, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M6.java', 'line': 18, 'condition': 'signedMode', 'region_lines': [18], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'BoundedIntPower/BoundedIntPower_M6.java', 'line': 24, 'condition': 'remaining > 0', 'region_lines': [24], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 24, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
1,36,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M1/cct_folded_localization_aggregated.json,3,2,1,condition,control-flow,SaturatedIntPower_M1,BOR,SaturatedIntPower/SaturatedIntPower_M1.java,3,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SaturatedIntPower,1,False,[4],False,[4],2,True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,"[3, 4]","[{'kind': 'edge_partition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M1.java', 'from_line': 3, 'from_condition': 'base >= 5', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [4], 'region_size': 1, 'risk_score': 0.5, 'base_risk_score': 0.5, 'pass_count': 1, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M1.java', 'line': 3, 'condition': 'base >= 5', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.027777777777777776, 'pass_count': 35, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M1.java', 'line': 3, 'condition': 'base < -5', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.02702702702702703, 'pass_count': 36, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
19,19,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M2/cct_folded_localization_aggregated.json,17,10,7,condition,control-flow,SaturatedIntPower_M2,ROR,SaturatedIntPower/SaturatedIntPower_M2.java,11,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SaturatedIntPower,1,False,[23],False,[25],3,False,"[23, 24, 25]",False,"[23, 24, 25]",4,False,"[23, 24, 25, 26]",False,"[23, 24, 25, 29]","[{'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M2.java', 'line': 25, 'condition': 'n > 0', 'region_lines': [25], 'region_size': 1, 'risk_score': 0.6333333333333333, 'pass_count': 11, 'fail_count': 19, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M2.java', 'from_line': 19, 'from_condition': 'base == 0', 'outcome': 'false', 'to_line': 25, 'to_condition': 'n > 0', 'region_lines': [23, 24], 'region_size': 2, 'risk_score': 0.6333333333333333, 'base_risk_score': 0.6333333333333333, 'pass_count': 11, 'fail_count': 19, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M2.java', 'line': 29, 'condition': 'result > limit', 'region_lines': [29], 'region_size': 1, 'risk_score': 0.6333333333333333, 'pass_count': 11, 'fail_count': 19, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
0,38,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M3/cct_folded_localization_aggregated.json,,,,condition,control-flow,SaturatedIntPower_M3,BOR,,,folded_row_not_evaluated,coverage_x_purity,,not_detected,,SaturatedIntPower,,,,,,,,,,,,,,,,
8,30,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M4/cct_folded_localization_aggregated.json,16,10,6,statement,data-flow,SaturatedIntPower_M4,CR,SaturatedIntPower/SaturatedIntPower_M4.java,10,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SaturatedIntPower,1,False,[30],False,[30],2,False,"[23, 30]",False,"[25, 30]",3,False,"[23, 24, 30]",False,"[25, 29, 30]","[{'kind': 'edge_partition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M4.java', 'from_line': 29, 'from_condition': 'result > limit', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [30], 'region_size': 1, 'risk_score': 0.3125, 'base_risk_score': 0.3125, 'pass_count': 5, 'fail_count': 5, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M4.java', 'line': 25, 'condition': 'n > 0', 'region_lines': [25], 'region_size': 1, 'risk_score': 0.26666666666666666, 'pass_count': 22, 'fail_count': 8, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M4.java', 'line': 29, 'condition': 'result > limit', 'region_lines': [29], 'region_size': 1, 'risk_score': 0.26666666666666666, 'pass_count': 22, 'fail_count': 8, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
14,8,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M5/cct_folded_localization_aggregated.json,16,10,6,statement,data-flow,SaturatedIntPower_M5,AOR,SaturatedIntPower/SaturatedIntPower_M5.java,26,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SaturatedIntPower,1,False,[23],False,[25],2,False,"[23, 24]",False,"[25, 35]",3,False,"[23, 24, 25]",False,"[25, 29, 35]","[{'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M5.java', 'line': 25, 'condition': 'n > 0', 'region_lines': [25], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 14, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M5.java', 'from_line': 32, 'from_condition': 'result < floor', 'outcome': 'false', 'to_line': None, 'to_condition': None, 'region_lines': [35], 'region_size': 1, 'risk_score': 1.0, 'base_risk_score': 1.0, 'pass_count': 0, 'fail_count': 14, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M5.java', 'line': 29, 'condition': 'result > limit', 'region_lines': [29], 'region_size': 1, 'risk_score': 1.0, 'pass_count': 0, 'fail_count': 14, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
12,10,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/SaturatedIntPower_M6/cct_folded_localization_aggregated.json,18,10,8,statement,data-flow,SaturatedIntPower_M6,SUR,SaturatedIntPower/SaturatedIntPower_M6.java,27,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,SaturatedIntPower,1,False,[23],False,[25],3,False,"[23, 24, 25]",False,"[23, 24, 25]",4,False,"[23, 24, 25, 26]",False,"[23, 24, 25, 29]","[{'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M6.java', 'line': 25, 'condition': 'n > 0', 'region_lines': [25], 'region_size': 1, 'risk_score': 0.8571428571428571, 'pass_count': 2, 'fail_count': 12, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M6.java', 'from_line': 19, 'from_condition': 'base == 0', 'outcome': 'false', 'to_line': 25, 'to_condition': 'n > 0', 'region_lines': [23, 24], 'region_size': 2, 'risk_score': 0.8571428571428571, 'base_risk_score': 0.8571428571428571, 'pass_count': 2, 'fail_count': 12, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'SaturatedIntPower/SaturatedIntPower_M6.java', 'line': 29, 'condition': 'result > limit', 'region_lines': [29], 'region_size': 1, 'risk_score': 0.8571428571428571, 'pass_count': 2, 'fail_count': 12, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
1,50,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedPerfectNumber_M1/cct_folded_localization_aggregated.json,2,1,1,condition,control-flow,BoundedPerfectNumber_M1,BOR,BoundedPerfectNumber/BoundedPerfectNumber_M1.java,3,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedPerfectNumber,1,False,[4],False,[4],2,True,"[3, 4]",True,"[3, 4]",2,True,"[3, 4]",True,"[3, 4]","[{'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M1.java', 'from_line': 3, 'from_condition': 'number > 50', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [4], 'region_size': 1, 'risk_score': 0.5, 'base_risk_score': 0.5, 'pass_count': 1, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M1.java', 'line': 3, 'condition': 'number <= 1', 'region_lines': [3], 'region_size': 1, 'risk_score': 0.0196078431372549, 'pass_count': 50, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}]"
3,49,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedPerfectNumber_M2/cct_folded_localization_aggregated.json,10,5,5,condition,control-flow,BoundedPerfectNumber_M2,BOR,BoundedPerfectNumber/BoundedPerfectNumber_M2.java,9,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedPerfectNumber,1,False,[17],False,[17],3,False,"[7, 8, 17]",False,"[11, 13, 17]",4,True,"[7, 8, 9, 17]",True,"[9, 11, 13, 17]","[{'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M2.java', 'from_line': 16, 'from_condition': 'sum == number', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [17], 'region_size': 1, 'risk_score': 0.3333333333333333, 'base_risk_score': 0.3333333333333333, 'pass_count': 0, 'fail_count': 1, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M2.java', 'from_line': 10, 'from_condition': 'number % i == 0', 'outcome': 'true', 'to_line': 9, 'to_condition': 'i <= number', 'region_lines': [11, 13], 'region_size': 2, 'risk_score': 0.06, 'base_risk_score': 0.06, 'pass_count': 47, 'fail_count': 3, 'support_count': 2, 'best_raw_rank': 3, 'original_rank': 2, 'rank': 2}, {'kind': 'condition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M2.java', 'line': 9, 'condition': 'i <= number', 'region_lines': [9], 'region_size': 1, 'risk_score': 0.06, 'pass_count': 47, 'fail_count': 3, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 3}]"
9,43,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedPerfectNumber_M3/cct_folded_localization_aggregated.json,9,5,4,condition,control-flow,BoundedPerfectNumber_M3,ROR,BoundedPerfectNumber/BoundedPerfectNumber_M3.java,16,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedPerfectNumber,1,False,[17],False,[17],3,False,"[10, 11, 17]",False,"[11, 13, 17]",3,False,"[10, 11, 17]",False,"[11, 13, 17]","[{'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M3.java', 'from_line': 16, 'from_condition': 'sum >= number', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [17], 'region_size': 1, 'risk_score': 0.8181818181818182, 'base_risk_score': 0.8181818181818182, 'pass_count': 2, 'fail_count': 9, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M3.java', 'from_line': 10, 'from_condition': 'number % i == 0', 'outcome': 'true', 'to_line': 9, 'to_condition': 'i < number', 'region_lines': [11, 13], 'region_size': 2, 'risk_score': 0.2647058823529412, 'base_risk_score': 0.2647058823529412, 'pass_count': 40, 'fail_count': 9, 'support_count': 2, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 2}, {'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M3.java', 'from_line': 10, 'from_condition': 'number % i == 0', 'outcome': 'false', 'to_line': 9, 'to_condition': 'i < number', 'region_lines': [13], 'region_size': 1, 'risk_score': 0.2, 'base_risk_score': 0.2, 'pass_count': 39, 'fail_count': 9, 'support_count': 2, 'best_raw_rank': 3, 'original_rank': 3, 'rank': 3}]"
8,44,/Users/jiazedong/WorkSpace/ZedResearch/CSC_EXT/project/CSC_EXPANDED/experiments/EX_CSC_dataset/rq_extension_a/RQ3-fault-localization/folded-replay-v2/artifacts/RQ3-fault-localization/BoundedPerfectNumber_M4/cct_folded_localization_aggregated.json,10,5,5,statement,data-flow,BoundedPerfectNumber_M4,CR,BoundedPerfectNumber/BoundedPerfectNumber_M4.java,7,,coverage_x_purity,ochiai,evaluated,experimental.unified_folded_source_candidate,BoundedPerfectNumber,1,False,[17],False,[17],2,True,"[7, 17]",False,"[9, 17]",3,True,"[7, 8, 17]",False,"[9, 16, 17]","[{'kind': 'edge_partition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M4.java', 'from_line': 16, 'from_condition': 'sum == number', 'outcome': 'true', 'to_line': None, 'to_condition': None, 'region_lines': [17], 'region_size': 1, 'risk_score': 0.75, 'base_risk_score': 0.75, 'pass_count': 0, 'fail_count': 6, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 1}, {'kind': 'condition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M4.java', 'line': 9, 'condition': 'i < number', 'region_lines': [9], 'region_size': 1, 'risk_score': 0.16, 'pass_count': 42, 'fail_count': 8, 'support_count': 1, 'best_raw_rank': 1, 'original_rank': 1, 'rank': 2}, {'kind': 'condition', 'source_file': 'BoundedPerfectNumber/BoundedPerfectNumber_M4.java', 'line': 16, 'condition': 'sum == number', 'region_lines': [16], 'region_size': 1, 'risk_score': 0.16, 'pass_count': 42, 'fail_count': 8, 'support_count': 1, 'best_raw_rank': 2, 'original_rank': 2, 'rank': 3}]"
